group,subgroup,suborder,subcat,xaxis,xorder,xlabel,chart,value,count,total,missing,x0,x1,x2,x3
National,majmatch,1,,pedcat,1,No College,Percent who declared in major area,49.5,28285,57088,,out of,college students whose parents' education level is,declared a major in their planned major area.,
National,majmatch,1,,pedcat,2,Some College,Percent who declared in major area,52.3,51664,98768,,out of,college students whose parents' education level is,declared a major in their planned major area.,
National,majmatch,1,,pedcat,3,Bach Degree,Percent who declared in major area,55.9,62103,111162,,out of,college students whose parents' education level is,declared a major in their planned major area.,
National,majmatch,1,,pedcat,4,Graduate Degree,Percent who declared in major area,57.7,53179,92227,,out of,college students whose parents' education level is,declared a major in their planned major area.,
National,majmatch,1,,pedcat,5,Missing,Percent who declared in major area,56.1,27531,49064,,out of,college students whose parents' education level is,declared a major in their planned major area.,
National,declrdfit,1,,pedcat,1,No College,Percent who had good I-M Fit for declared,32.5,17049,52492,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
National,declrdfit,1,,pedcat,2,Some College,Percent who had good I-M Fit for declared,34.4,31305,91035,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
National,declrdfit,1,,pedcat,3,Bach Degree,Percent who had good I-M Fit for declared,37.3,37343,100200,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
National,declrdfit,1,,pedcat,4,Graduate Degree,Percent who had good I-M Fit for declared,39.4,32001,81242,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
National,declrdfit,1,,pedcat,5,Missing,Percent who had good I-M Fit for declared,36.4,5500,15106,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Northeast,majmatch,1,,pedcat,1,No College,Percent who declared in major area,61,1470,2411,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Northeast,majmatch,1,,pedcat,2,Some College,Percent who declared in major area,59.5,3178,5341,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Northeast,majmatch,1,,pedcat,3,Bach Degree,Percent who declared in major area,64.9,5855,9016,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Northeast,majmatch,1,,pedcat,4,Graduate Degree,Percent who declared in major area,64.8,6124,9444,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Northeast,majmatch,1,,pedcat,5,Missing,Percent who declared in major area,65,5727,8816,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Northeast,declrdfit,1,,pedcat,1,No College,Percent who had good I-M Fit for declared,37.4,794,2123,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Northeast,declrdfit,1,,pedcat,2,Some College,Percent who had good I-M Fit for declared,40.2,1878,4669,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Northeast,declrdfit,1,,pedcat,3,Bach Degree,Percent who had good I-M Fit for declared,41.4,3125,7549,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Northeast,declrdfit,1,,pedcat,4,Graduate Degree,Percent who had good I-M Fit for declared,41.8,3221,7700,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Northeast,declrdfit,1,,pedcat,5,Missing,Percent who had good I-M Fit for declared,42.7,875,2051,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Midwest,majmatch,1,,pedcat,1,No College,Percent who declared in major area,50.7,8941,17629,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Midwest,majmatch,1,,pedcat,2,Some College,Percent who declared in major area,53.8,19579,36415,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Midwest,majmatch,1,,pedcat,3,Bach Degree,Percent who declared in major area,57,23090,40498,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Midwest,majmatch,1,,pedcat,4,Graduate Degree,Percent who declared in major area,58.2,18359,31526,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Midwest,majmatch,1,,pedcat,5,Missing,Percent who declared in major area,55.3,5927,10711,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Midwest,declrdfit,1,,pedcat,1,No College,Percent who had good I-M Fit for declared,34.3,5612,16343,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Midwest,declrdfit,1,,pedcat,2,Some College,Percent who had good I-M Fit for declared,36.2,12248,33871,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Midwest,declrdfit,1,,pedcat,3,Bach Degree,Percent who had good I-M Fit for declared,39.3,14602,37167,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Midwest,declrdfit,1,,pedcat,4,Graduate Degree,Percent who had good I-M Fit for declared,41.2,11713,28400,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Midwest,declrdfit,1,,pedcat,5,Missing,Percent who had good I-M Fit for declared,38.4,1698,4422,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
South,majmatch,1,,pedcat,1,No College,Percent who declared in major area,47.5,13141,27683,,out of,college students whose parents' education level is,declared a major in their planned major area.,
South,majmatch,1,,pedcat,2,Some College,Percent who declared in major area,50.1,22539,45017,,out of,college students whose parents' education level is,declared a major in their planned major area.,
South,majmatch,1,,pedcat,3,Bach Degree,Percent who declared in major area,52.6,24203,46003,,out of,college students whose parents' education level is,declared a major in their planned major area.,
South,majmatch,1,,pedcat,4,Graduate Degree,Percent who declared in major area,54.6,20044,36731,,out of,college students whose parents' education level is,declared a major in their planned major area.,
South,majmatch,1,,pedcat,5,Missing,Percent who declared in major area,52.5,10962,20864,,out of,college students whose parents' education level is,declared a major in their planned major area.,
South,declrdfit,1,,pedcat,1,No College,Percent who had good I-M Fit for declared,30.3,7662,25252,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
South,declrdfit,1,,pedcat,2,Some College,Percent who had good I-M Fit for declared,31.8,13122,41259,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
South,declrdfit,1,,pedcat,3,Bach Degree,Percent who had good I-M Fit for declared,34.4,14203,41230,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
South,declrdfit,1,,pedcat,4,Graduate Degree,Percent who had good I-M Fit for declared,36.7,11816,32210,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
South,declrdfit,1,,pedcat,5,Missing,Percent who had good I-M Fit for declared,32.2,1967,6109,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
West,majmatch,1,,pedcat,1,No College,Percent who declared in major area,50.5,4733,9365,,out of,college students whose parents' education level is,declared a major in their planned major area.,
West,majmatch,1,,pedcat,2,Some College,Percent who declared in major area,53.1,6368,11995,,out of,college students whose parents' education level is,declared a major in their planned major area.,
West,majmatch,1,,pedcat,3,Bach Degree,Percent who declared in major area,57.2,8955,15645,,out of,college students whose parents' education level is,declared a major in their planned major area.,
West,majmatch,1,,pedcat,4,Graduate Degree,Percent who declared in major area,59.6,8652,14526,,out of,college students whose parents' education level is,declared a major in their planned major area.,
West,majmatch,1,,pedcat,5,Missing,Percent who declared in major area,56.7,4915,8673,,out of,college students whose parents' education level is,declared a major in their planned major area.,
West,declrdfit,1,,pedcat,1,No College,Percent who had good I-M Fit for declared,34,2981,8774,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
West,declrdfit,1,,pedcat,2,Some College,Percent who had good I-M Fit for declared,36.1,4057,11236,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
West,declrdfit,1,,pedcat,3,Bach Degree,Percent who had good I-M Fit for declared,38,5413,14254,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
West,declrdfit,1,,pedcat,4,Graduate Degree,Percent who had good I-M Fit for declared,40.6,5251,12932,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
West,declrdfit,1,,pedcat,5,Missing,Percent who had good I-M Fit for declared,38,960,2524,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
25% or less,majmatch,1,,pedcat,1,No College,Percent who declared in major area,61,946,1552,,out of,college students whose parents' education level is,declared a major in their planned major area.,
25% or less,majmatch,1,,pedcat,2,Some College,Percent who declared in major area,59.8,1910,3195,,out of,college students whose parents' education level is,declared a major in their planned major area.,
25% or less,majmatch,1,,pedcat,3,Bach Degree,Percent who declared in major area,65.4,4050,6192,,out of,college students whose parents' education level is,declared a major in their planned major area.,
25% or less,majmatch,1,,pedcat,4,Graduate Degree,Percent who declared in major area,65.9,4353,6606,,out of,college students whose parents' education level is,declared a major in their planned major area.,
25% or less,majmatch,1,,pedcat,5,Missing,Percent who declared in major area,66.3,3597,5425,,out of,college students whose parents' education level is,declared a major in their planned major area.,
25% or less,declrdfit,1,,pedcat,1,No College,Percent who had good I-M Fit for declared,35.5,484,1363,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
25% or less,declrdfit,1,,pedcat,2,Some College,Percent who had good I-M Fit for declared,38.1,1074,2816,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
25% or less,declrdfit,1,,pedcat,3,Bach Degree,Percent who had good I-M Fit for declared,39.2,2038,5195,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
25% or less,declrdfit,1,,pedcat,4,Graduate Degree,Percent who had good I-M Fit for declared,40,2144,5355,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
25% or less,declrdfit,1,,pedcat,5,Missing,Percent who had good I-M Fit for declared,41.1,508,1237,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
26% - 50%,majmatch,1,,pedcat,1,No College,Percent who declared in major area,51.8,8113,15676,,out of,college students whose parents' education level is,declared a major in their planned major area.,
26% - 50%,majmatch,1,,pedcat,2,Some College,Percent who declared in major area,54.3,11667,21504,,out of,college students whose parents' education level is,declared a major in their planned major area.,
26% - 50%,majmatch,1,,pedcat,3,Bach Degree,Percent who declared in major area,58.6,16175,27609,,out of,college students whose parents' education level is,declared a major in their planned major area.,
26% - 50%,majmatch,1,,pedcat,4,Graduate Degree,Percent who declared in major area,60.3,14915,24727,,out of,college students whose parents' education level is,declared a major in their planned major area.,
26% - 50%,majmatch,1,,pedcat,5,Missing,Percent who declared in major area,57.4,11896,20720,,out of,college students whose parents' education level is,declared a major in their planned major area.,
26% - 50%,declrdfit,1,,pedcat,1,No College,Percent who had good I-M Fit for declared,33.4,4798,14385,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
26% - 50%,declrdfit,1,,pedcat,2,Some College,Percent who had good I-M Fit for declared,35.2,6920,19656,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
26% - 50%,declrdfit,1,,pedcat,3,Bach Degree,Percent who had good I-M Fit for declared,37,8969,24224,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
26% - 50%,declrdfit,1,,pedcat,4,Graduate Degree,Percent who had good I-M Fit for declared,39.5,8327,21058,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
26% - 50%,declrdfit,1,,pedcat,5,Missing,Percent who had good I-M Fit for declared,37.4,1885,5039,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
51% - 75%,majmatch,1,,pedcat,1,No College,Percent who declared in major area,49,8296,16945,,out of,college students whose parents' education level is,declared a major in their planned major area.,
51% - 75%,majmatch,1,,pedcat,2,Some College,Percent who declared in major area,52.6,17910,34081,,out of,college students whose parents' education level is,declared a major in their planned major area.,
51% - 75%,majmatch,1,,pedcat,3,Bach Degree,Percent who declared in major area,55.3,20050,36276,,out of,college students whose parents' education level is,declared a major in their planned major area.,
51% - 75%,majmatch,1,,pedcat,4,Graduate Degree,Percent who declared in major area,56.2,16873,30026,,out of,college students whose parents' education level is,declared a major in their planned major area.,
51% - 75%,majmatch,1,,pedcat,5,Missing,Percent who declared in major area,53.5,8010,14977,,out of,college students whose parents' education level is,declared a major in their planned major area.,
51% - 75%,declrdfit,1,,pedcat,1,No College,Percent who had good I-M Fit for declared,31.8,4910,15445,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
51% - 75%,declrdfit,1,,pedcat,2,Some College,Percent who had good I-M Fit for declared,34.3,10715,31236,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
51% - 75%,declrdfit,1,,pedcat,3,Bach Degree,Percent who had good I-M Fit for declared,36.9,11960,32381,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
51% - 75%,declrdfit,1,,pedcat,4,Graduate Degree,Percent who had good I-M Fit for declared,38.8,10196,26262,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
51% - 75%,declrdfit,1,,pedcat,5,Missing,Percent who had good I-M Fit for declared,35.5,1758,4950,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
76% - 100%,majmatch,1,,pedcat,1,No College,Percent who declared in major area,43.9,1736,3950,,out of,college students whose parents' education level is,declared a major in their planned major area.,
76% - 100%,majmatch,1,,pedcat,2,Some College,Percent who declared in major area,48.1,3735,7773,,out of,college students whose parents' education level is,declared a major in their planned major area.,
76% - 100%,majmatch,1,,pedcat,3,Bach Degree,Percent who declared in major area,48.9,3454,7061,,out of,college students whose parents' education level is,declared a major in their planned major area.,
76% - 100%,majmatch,1,,pedcat,4,Graduate Degree,Percent who declared in major area,50.7,2702,5332,,out of,college students whose parents' education level is,declared a major in their planned major area.,
76% - 100%,majmatch,1,,pedcat,5,Missing,Percent who declared in major area,49,774,1578,,out of,college students whose parents' education level is,declared a major in their planned major area.,
76% - 100%,declrdfit,1,,pedcat,1,No College,Percent who had good I-M Fit for declared,30.6,1110,3626,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
76% - 100%,declrdfit,1,,pedcat,2,Some College,Percent who had good I-M Fit for declared,31.9,2260,7084,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
76% - 100%,declrdfit,1,,pedcat,3,Bach Degree,Percent who had good I-M Fit for declared,34.5,2195,6360,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
76% - 100%,declrdfit,1,,pedcat,4,Graduate Degree,Percent who had good I-M Fit for declared,35.5,1688,4760,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
76% - 100%,declrdfit,1,,pedcat,5,Missing,Percent who had good I-M Fit for declared,32.8,210,640,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Statewide (100%),majmatch,1,,pedcat,1,No College,Percent who declared in major area,48.5,9194,18965,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Statewide (100%),majmatch,1,,pedcat,2,Some College,Percent who declared in major area,51,16442,32215,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Statewide (100%),majmatch,1,,pedcat,3,Bach Degree,Percent who declared in major area,54,18374,34024,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Statewide (100%),majmatch,1,,pedcat,4,Graduate Degree,Percent who declared in major area,56.1,14336,25536,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Statewide (100%),majmatch,1,,pedcat,5,Missing,Percent who declared in major area,51.1,3254,6364,,out of,college students whose parents' education level is,declared a major in their planned major area.,
Statewide (100%),declrdfit,1,,pedcat,1,No College,Percent who had good I-M Fit for declared,32.5,5747,17673,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Statewide (100%),declrdfit,1,,pedcat,2,Some College,Percent who had good I-M Fit for declared,34.2,10336,30243,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Statewide (100%),declrdfit,1,,pedcat,3,Bach Degree,Percent who had good I-M Fit for declared,38,12181,32040,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Statewide (100%),declrdfit,1,,pedcat,4,Graduate Degree,Percent who had good I-M Fit for declared,40.5,9646,23807,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Statewide (100%),declrdfit,1,,pedcat,5,Missing,Percent who had good I-M Fit for declared,35.2,1139,3240,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
2-year,majmatch,1,,pedcat,1,No College,Percent who declared in major area,42.6,6897,16179,,out of,college students whose parents' education level is,declared a major in their planned major area.,
2-year,majmatch,1,,pedcat,2,Some College,Percent who declared in major area,44.2,9512,21513,,out of,college students whose parents' education level is,declared a major in their planned major area.,
2-year,majmatch,1,,pedcat,3,Bach Degree,Percent who declared in major area,44.5,5475,12317,,out of,college students whose parents' education level is,declared a major in their planned major area.,
2-year,majmatch,1,,pedcat,4,Graduate Degree,Percent who declared in major area,43.8,2482,5673,,out of,college students whose parents' education level is,declared a major in their planned major area.,
2-year,majmatch,1,,pedcat,5,Missing,Percent who declared in major area,42.3,2541,6014,,out of,college students whose parents' education level is,declared a major in their planned major area.,
2-year,declrdfit,1,,pedcat,1,No College,Percent who had good I-M Fit for declared,28.8,4110,14292,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
2-year,declrdfit,1,,pedcat,2,Some College,Percent who had good I-M Fit for declared,30.4,5788,19014,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
2-year,declrdfit,1,,pedcat,3,Bach Degree,Percent who had good I-M Fit for declared,31.4,3409,10841,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
2-year,declrdfit,1,,pedcat,4,Graduate Degree,Percent who had good I-M Fit for declared,31.2,1550,4966,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
2-year,declrdfit,1,,pedcat,5,Missing,Percent who had good I-M Fit for declared,29.5,676,2289,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
4-year Public,majmatch,1,,pedcat,1,No College,Percent who declared in major area,52.4,16609,31715,,out of,college students whose parents' education level is,declared a major in their planned major area.,
4-year Public,majmatch,1,,pedcat,2,Some College,Percent who declared in major area,54.4,31921,58696,,out of,college students whose parents' education level is,declared a major in their planned major area.,
4-year Public,majmatch,1,,pedcat,3,Bach Degree,Percent who declared in major area,56.6,42310,74763,,out of,college students whose parents' education level is,declared a major in their planned major area.,
4-year Public,majmatch,1,,pedcat,4,Graduate Degree,Percent who declared in major area,57.7,36284,62859,,out of,college students whose parents' education level is,declared a major in their planned major area.,
4-year Public,majmatch,1,,pedcat,5,Missing,Percent who declared in major area,57.3,17625,30759,,out of,college students whose parents' education level is,declared a major in their planned major area.,
4-year Public,declrdfit,1,,pedcat,1,No College,Percent who had good I-M Fit for declared,34,10070,29581,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
4-year Public,declrdfit,1,,pedcat,2,Some College,Percent who had good I-M Fit for declared,35.5,19452,54758,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
4-year Public,declrdfit,1,,pedcat,3,Bach Degree,Percent who had good I-M Fit for declared,37.7,25573,67843,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
4-year Public,declrdfit,1,,pedcat,4,Graduate Degree,Percent who had good I-M Fit for declared,39.5,22020,55703,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
4-year Public,declrdfit,1,,pedcat,5,Missing,Percent who had good I-M Fit for declared,37.3,3477,9313,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
4-year Private,majmatch,1,,pedcat,1,No College,Percent who declared in major area,52,4779,9194,,out of,college students whose parents' education level is,declared a major in their planned major area.,
4-year Private,majmatch,1,,pedcat,2,Some College,Percent who declared in major area,55.1,10231,18559,,out of,college students whose parents' education level is,declared a major in their planned major area.,
4-year Private,majmatch,1,,pedcat,3,Bach Degree,Percent who declared in major area,59.5,14318,24082,,out of,college students whose parents' education level is,declared a major in their planned major area.,
4-year Private,majmatch,1,,pedcat,4,Graduate Degree,Percent who declared in major area,60.8,14413,23695,,out of,college students whose parents' education level is,declared a major in their planned major area.,
4-year Private,majmatch,1,,pedcat,5,Missing,Percent who declared in major area,59.9,7365,12291,,out of,college students whose parents' education level is,declared a major in their planned major area.,
4-year Private,declrdfit,1,,pedcat,1,No College,Percent who had good I-M Fit for declared,33.3,2869,8619,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
4-year Private,declrdfit,1,,pedcat,2,Some College,Percent who had good I-M Fit for declared,35.1,6065,17263,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
4-year Private,declrdfit,1,,pedcat,3,Bach Degree,Percent who had good I-M Fit for declared,38.9,8361,21516,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
4-year Private,declrdfit,1,,pedcat,4,Graduate Degree,Percent who had good I-M Fit for declared,41,8431,20573,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
4-year Private,declrdfit,1,,pedcat,5,Missing,Percent who had good I-M Fit for declared,38.4,1347,3504,,out of,college students whose parents' education level is,declared a major that is a good fit with their measured interests.,
Alabama,majmatch,1,,degcat,1,<Bach,Percent who declared in major area,35.9,109,304,,out of,college students whose degree plans are,declared a major in their planned major area.,
Alabama,majmatch,1,,degcat,2,Bachelor's,Percent who declared in major area,44.1,1641,3723,,out of,college students whose degree plans are,declared a major in their planned major area.,
Alabama,majmatch,1,,degcat,3,Graduate,Percent who declared in major area,50.6,1912,3779,,out of,college students whose degree plans are,declared a major in their planned major area.,
Alabama,majmatch,1,,degcat,4,Other/Missing,Percent who declared in major area,45.6,110,241,,out of,college students whose degree plans are,declared a major in their planned major area.,
Alabama,declrdfit,1,,degcat,1,<Bach,Percent who had good I-M Fit for declared,36.2,96,265,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Alabama,declrdfit,1,,degcat,2,Bachelor's,Percent who had good I-M Fit for declared,30.4,1002,3293,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Alabama,declrdfit,1,,degcat,3,Graduate,Percent who had good I-M Fit for declared,34.7,1131,3259,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Alabama,declrdfit,1,,degcat,4,Other/Missing,Percent who had good I-M Fit for declared,29,31,107,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Alaska,majmatch,1,,degcat,1,<Bach,Percent who declared in major area,100,1,1,,out of,college students whose degree plans are,declared a major in their planned major area.,
Alaska,majmatch,1,,degcat,2,Bachelor's,Percent who declared in major area,49.6,57,115,,out of,college students whose degree plans are,declared a major in their planned major area.,
Alaska,majmatch,1,,degcat,3,Graduate,Percent who declared in major area,63.4,78,123,,out of,college students whose degree plans are,declared a major in their planned major area.,
Alaska,majmatch,1,,degcat,4,Other/Missing,Percent who declared in major area,30.8,4,13,,out of,college students whose degree plans are,declared a major in their planned major area.,
Alaska,declrdfit,1,,degcat,1,<Bach,Percent who had good I-M Fit for declared,100,1,1,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Alaska,declrdfit,1,,degcat,2,Bachelor's,Percent who had good I-M Fit for declared,28.6,26,91,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Alaska,declrdfit,1,,degcat,3,Graduate,Percent who had good I-M Fit for declared,38.8,40,103,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Alaska,declrdfit,1,,degcat,4,Other/Missing,Percent who had good I-M Fit for declared,100,2,2,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Arizona,majmatch,1,,degcat,1,<Bach,Percent who declared in major area,37.5,33,88,,out of,college students whose degree plans are,declared a major in their planned major area.,
Arizona,majmatch,1,,degcat,2,Bachelor's,Percent who declared in major area,46.6,709,1520,,out of,college students whose degree plans are,declared a major in their planned major area.,
Arizona,majmatch,1,,degcat,3,Graduate,Percent who declared in major area,57.2,1384,2420,,out of,college students whose degree plans are,declared a major in their planned major area.,
Arizona,majmatch,1,,degcat,4,Other/Missing,Percent who declared in major area,57.2,123,215,,out of,college students whose degree plans are,declared a major in their planned major area.,
Arizona,declrdfit,1,,degcat,1,<Bach,Percent who had good I-M Fit for declared,22.7,17,75,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Arizona,declrdfit,1,,degcat,2,Bachelor's,Percent who had good I-M Fit for declared,32.5,438,1346,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Arizona,declrdfit,1,,degcat,3,Graduate,Percent who had good I-M Fit for declared,39.5,855,2164,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Arizona,declrdfit,1,,degcat,4,Other/Missing,Percent who had good I-M Fit for declared,37.6,32,85,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Arkansas,majmatch,1,,degcat,1,<Bach,Percent who declared in major area,47.2,84,178,,out of,college students whose degree plans are,declared a major in their planned major area.,
Arkansas,majmatch,1,,degcat,2,Bachelor's,Percent who declared in major area,46.3,1359,2935,,out of,college students whose degree plans are,declared a major in their planned major area.,
Arkansas,majmatch,1,,degcat,3,Graduate,Percent who declared in major area,51,1398,2742,,out of,college students whose degree plans are,declared a major in their planned major area.,
Arkansas,majmatch,1,,degcat,4,Other/Missing,Percent who declared in major area,41.4,67,162,,out of,college students whose degree plans are,declared a major in their planned major area.,
Arkansas,declrdfit,1,,degcat,1,<Bach,Percent who had good I-M Fit for declared,31.6,50,158,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Arkansas,declrdfit,1,,degcat,2,Bachelor's,Percent who had good I-M Fit for declared,29.3,774,2638,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Arkansas,declrdfit,1,,degcat,3,Graduate,Percent who had good I-M Fit for declared,34.2,843,2465,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Arkansas,declrdfit,1,,degcat,4,Other/Missing,Percent who had good I-M Fit for declared,39.5,34,86,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
California,majmatch,1,,degcat,1,<Bach,Percent who declared in major area,41.4,53,128,,out of,college students whose degree plans are,declared a major in their planned major area.,
California,majmatch,1,,degcat,2,Bachelor's,Percent who declared in major area,53.3,4689,8790,,out of,college students whose degree plans are,declared a major in their planned major area.,
California,majmatch,1,,degcat,3,Graduate,Percent who declared in major area,58.9,9080,15406,,out of,college students whose degree plans are,declared a major in their planned major area.,
California,majmatch,1,,degcat,4,Other/Missing,Percent who declared in major area,55.6,1631,2931,,out of,college students whose degree plans are,declared a major in their planned major area.,
California,declrdfit,1,,degcat,1,<Bach,Percent who had good I-M Fit for declared,25.9,28,108,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
California,declrdfit,1,,degcat,2,Bachelor's,Percent who had good I-M Fit for declared,31.8,2285,7177,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
California,declrdfit,1,,degcat,3,Graduate,Percent who had good I-M Fit for declared,39.8,5077,12741,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
California,declrdfit,1,,degcat,4,Other/Missing,Percent who had good I-M Fit for declared,35.1,201,572,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Colorado,majmatch,1,,degcat,1,<Bach,Percent who declared in major area,43.3,127,293,,out of,college students whose degree plans are,declared a major in their planned major area.,
Colorado,majmatch,1,,degcat,2,Bachelor's,Percent who declared in major area,51.5,2142,4161,,out of,college students whose degree plans are,declared a major in their planned major area.,
Colorado,majmatch,1,,degcat,3,Graduate,Percent who declared in major area,59.3,3059,5162,,out of,college students whose degree plans are,declared a major in their planned major area.,
Colorado,majmatch,1,,degcat,4,Other/Missing,Percent who declared in major area,51,182,357,,out of,college students whose degree plans are,declared a major in their planned major area.,
Colorado,declrdfit,1,,degcat,1,<Bach,Percent who had good I-M Fit for declared,34.3,94,274,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Colorado,declrdfit,1,,degcat,2,Bachelor's,Percent who had good I-M Fit for declared,37.4,1473,3937,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
Colorado,declrdfit,1,,degcat,3,Graduate,Percent who had good I-M Fit for declared,44.4,2153,4846,,out of,college students whose degree plans are,declared a major that is a good fit with their measured interests.,
